Connecting to: https://ezfccfypwmuvbpujkqrg.supabase.co
Unique UserIDs found in data: {'10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6'}

--- APIARIES ---
Apiary: Kibwezi Main Apiary | ID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6 | Status: None

--- HIVES ---
Hive: KIB-H034 | ID: b2ea1e77-2a0d-4fc2-aa43-4f7c95f8a051 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H035 | ID: 02cb080c-70f2-4a90-95e8-9357dda05a4f | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H036 | ID: c835ef36-d16d-4459-9c01-a83fc1d21bb6 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H037 | ID: bfa294a1-181f-4530-a3ac-1620a1dfbf8d | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H038 | ID: a8a7825f-4ba1-4d87-aa90-c66b9d5e3520 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H039 | ID: 5568e384-086c-46fe-ae17-16b2b8c05818 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H040 | ID: 19df689f-d392-4611-b5c2-6f029406b392 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H041 | ID: 24c344be-b8ab-4085-a0a2-862d3447ce9b | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H042 | ID: 1fc82e81-4573-403c-955d-25482151484e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H043 | ID: d8da9b1c-8686-4749-853a-dd2c0dbd192a | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H044 | ID: c0ddba9b-2e9e-4e8f-8be8-d74760e297d2 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H045 | ID: bae7963a-f202-4fcf-8b42-4746b125fee4 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H046 | ID: 0c8cf00c-aa86-4c34-9d80-59cf4f5d1310 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H047 | ID: 856d8ea6-88c3-4fce-9ced-2667410adcf3 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H048 | ID: 0ad15bea-64de-493f-82b7-12c747d78649 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H049 | ID: ddf15ec6-0a50-4d53-9520-933ee6cb9dee | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H050 | ID: 5ee0476d-38f2-4e2a-b83b-b2e8ac956124 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H051 | ID: 56e6f53e-a7d1-43b0-8342-d124aac0a267 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H052 | ID: f376a60e-75ab-4119-8dbd-729a74cecdd2 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H053 | ID: 49c0c5b5-5844-458a-ae9f-f06658cb73f4 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H054 | ID: 89d8716f-3949-47ae-878b-f272e2633d65 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H055 | ID: c412c0f9-a99e-4e93-b1c8-52b500555920 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H056 | ID: ac0399c8-2d92-4974-b715-39a11de9b546 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H057 | ID: b4aafd0a-6ac4-44b5-8de5-f277ddd7d746 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H058 | ID: 648a065c-2b58-4f03-bee9-fd97afa77cf3 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
