ID,Category,Topic,Details,Location,Timestamp,Source
RES-20260001,Genetics,Queen Performance Metric,Lineage: Mombasa-Adaptive. Hygienic score: 85%. Brood viability: 85%. Temperament: Aggressive.,Mombasa,2026-02-12,BeeYield University Research
RES-20260002,Disease,Israeli Acute Paralysis Virus (IAPV),Pathogen: Virus. Clinical Signs: Shivering wings; progression to paralysis and death. Recommended Protocol: Strengthen immunity via nutrition. Risk Level: High.,Narok,2026-02-12,BeeYield University Research
RES-20260003,Harvesting,Canola Honey Harvest,Yield: 3.6kg per hive. Moisture content: 19.2%. HMF levels compliant. Extraction method: Drip.,Makueni,2026-02-12,BeeYield University Research
RES-20260004,Harvesting,Orange Blossom Honey Harvest,Yield: 19.9kg per hive. Moisture content: 17.8%. HMF levels compliant. Extraction method: Centrifugal.,Kakamega,2026-02-12,BeeYield University Research
RES-20260005,Disease,Greater Wax Moth,Pathogen: Galleria mellonella. Clinical Signs: Silk tunnels in comb; destroyed wax; bald brood. Recommended Protocol: Store frames with Para-moth; freeze frames; strong colonies. Risk Level: Medium.,Baringo,2026-02-12,BeeYield University Research
RES-20260006,Genetics,Queen Performance Metric,Lineage: Mount Kenya-Adaptive. Hygienic score: 96%. Brood viability: 88%. Temperament: Docile.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260007,Genetics,Queen Performance Metric,Lineage: Kitui-Adaptive. Hygienic score: 81%. Brood viability: 98%. Temperament: Aggressive.,Kitui,2026-02-12,BeeYield University Research
RES-20260008,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260009,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Average. Queen laying pattern spotty. Stores: 35kg honey. Mite count: 24/100 bees.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260010,Apiary Management,Traditional Log Hive Inspection,Colony Status: Average. Queen laying pattern spotty. Stores: 16kg honey. Mite count: 9/100 bees.,Aberdares,2026-02-12,BeeYield University Research
RES-20260011,Sustainability,Sustainable Practice Implementation,Maintaining 20% natural habitat buffer zones.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260012,Sustainability,Sustainable Practice Implementation,Maintaining 20% natural habitat buffer zones.,Mombasa,2026-02-12,BeeYield University Research
RES-20260013,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260014,Harvesting,Orange Blossom Honey Harvest,Yield: 37.3kg per hive. Moisture content: 15.6%. HMF levels compliant. Extraction method: Drip.,Kakamega,2026-02-12,BeeYield University Research
RES-20260015,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 70%. Brood viability: 77%. Temperament: Docile.,Kisumu,2026-02-12,BeeYield University Research
RES-20260016,Apiary Management,Flow Hive Hive Inspection,Colony Status: Swarming. Queen laying pattern solid. Stores: 35kg honey. Mite count: 25/100 bees.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260017,Apiary Management,Flow Hive Hive Inspection,Colony Status: Strong. Queen laying pattern drone-layer. Stores: 13kg honey. Mite count: 14/100 bees.,Makueni,2026-02-12,BeeYield University Research
RES-20260018,Sustainability,Sustainable Practice Implementation,Recycling old combs for candle making to reduce waste.,Kisumu,2026-02-12,BeeYield University Research
RES-20260019,Sustainability,Sustainable Practice Implementation,Water harvesting for apiary hydration stations.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260020,Genetics,Queen Performance Metric,Lineage: Kakamega-Adaptive. Hygienic score: 82%. Brood viability: 86%. Temperament: Docile.,Kakamega,2026-02-12,BeeYield University Research
RES-20260021,Genetics,Queen Performance Metric,Lineage: Nairobi Peri-Urban-Adaptive. Hygienic score: 98%. Brood viability: 80%. Temperament: Aggressive.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260022,Disease,Starvation,Pathogen: Management Failure. Clinical Signs: Bees dead with heads in cells; pile on bottom board. Recommended Protocol: Emergency feeding (fondant/sugar). Risk Level: Critical.,Kakamega,2026-02-12,BeeYield University Research
RES-20260023,Apiary Management,Traditional Log Hive Inspection,Colony Status: Average. Queen laying pattern solid. Stores: 19kg honey. Mite count: 25/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260024,Apiary Management,Traditional Log Hive Inspection,Colony Status: Average. Queen laying pattern spotty. Stores: 2kg honey. Mite count: 8/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260025,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 94%. Brood viability: 92%. Temperament: Aggressive.,Kisumu,2026-02-12,BeeYield University Research
RES-20260026,Harvesting,Multifloral Honey Harvest,Yield: 33.9kg per hive. Moisture content: 21.5%. HMF levels compliant. Extraction method: Crush & Strain.,Narok,2026-02-12,BeeYield University Research
RES-20260027,Sustainability,Sustainable Practice Implementation,Planting indigenous bee-friendly flora strips (3m width).,Coastal Region,2026-02-12,BeeYield University Research
RES-20260028,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Kisumu,2026-02-12,BeeYield University Research
RES-20260029,Apiary Management,Warre Hive Inspection,Colony Status: Strong. Queen laying pattern solid. Stores: 21kg honey. Mite count: 6/100 bees.,Aberdares,2026-02-12,BeeYield University Research
RES-20260030,Harvesting,Acacia Honey Harvest,Yield: 21.4kg per hive. Moisture content: 17.1%. HMF levels compliant. Extraction method: Centrifugal.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260031,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Kakamega,2026-02-12,BeeYield University Research
RES-20260032,Harvesting,Sunflower Honey Harvest,Yield: 36.9kg per hive. Moisture content: 15.8%. HMF levels compliant. Extraction method: Drip.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260033,Sustainability,Sustainable Practice Implementation,Recycling old combs for candle making to reduce waste.,Makueni,2026-02-12,BeeYield University Research
RES-20260034,Disease,Tracheal Mite,Pathogen: Acarapis woodi. Clinical Signs: K-wing (disconnected wings); bees unable to fly. Recommended Protocol: Menthol crystals; Formic acid; oil patties. Risk Level: High.,Mombasa,2026-02-12,BeeYield University Research
RES-20260035,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Critical. Queen laying pattern drone-layer. Stores: 32kg honey. Mite count: 1/100 bees.,Kisumu,2026-02-12,BeeYield University Research
RES-20260036,Harvesting,Canola Honey Harvest,Yield: 14.6kg per hive. Moisture content: 17.8%. HMF levels compliant. Extraction method: Drip.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260037,Genetics,Queen Performance Metric,Lineage: Coastal Region-Adaptive. Hygienic score: 72%. Brood viability: 92%. Temperament: Defensive.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260038,Harvesting,Sunflower Honey Harvest,Yield: 48.2kg per hive. Moisture content: 16.6%. HMF levels compliant. Extraction method: Centrifugal.,Kisumu,2026-02-12,BeeYield University Research
RES-20260039,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Kisumu,2026-02-12,BeeYield University Research
RES-20260040,Harvesting,Macadamia Honey Harvest,Yield: 11.9kg per hive. Moisture content: 17.8%. HMF levels compliant. Extraction method: Crush & Strain.,Kakamega,2026-02-12,BeeYield University Research
RES-20260041,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 82%. Brood viability: 92%. Temperament: Defensive.,Kisumu,2026-02-12,BeeYield University Research
RES-20260042,Sustainability,Sustainable Practice Implementation,Maintaining 20% natural habitat buffer zones.,Aberdares,2026-02-12,BeeYield University Research
RES-20260043,Disease,Braula Coeca (Bee Louse),Pathogen: Wingless Fly. Clinical Signs: Steals food from queen/workers; tunneling in cappings. Recommended Protocol: Tobacco smoke; Camphor. Risk Level: Low.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260044,Harvesting,Croton Honey Harvest,Yield: 33.7kg per hive. Moisture content: 21.5%. HMF levels compliant. Extraction method: Centrifugal.,Mount Kenya,2026-02-12,BeeYield University Research
