src/services/shopService.ts(577,18): error TS1005: ';' expected.
src/services/shopService.ts(578,21): error TS1005: ';' expected.
src/services/shopService.ts(585,13): error TS1003: Identifier expected.
src/services/shopService.ts(585,22): error TS1005: ':' expected.
src/services/shopService.ts(586,15): error TS1003: Identifier expected.
src/services/shopService.ts(586,36): error TS1005: ':' expected.
src/services/shopService.ts(587,22): error TS1003: Identifier expected.
src/services/shopService.ts(587,135): error TS1005: ':' expected.
src/services/shopService.ts(588,19): error TS1003: Identifier expected.
src/services/shopService.ts(588,26): error TS1005: ':' expected.
src/services/shopService.ts(589,16): error TS1003: Identifier expected.
src/services/shopService.ts(589,25): error TS1005: ':' expected.
src/services/shopService.ts(590,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(590,63): error TS1005: ':' expected.
src/services/shopService.ts(590,64): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(591,17): error TS1003: Identifier expected.
src/services/shopService.ts(591,20): error TS1005: ':' expected.
src/services/shopService.ts(592,23): error TS1003: Identifier expected.
src/services/shopService.ts(592,25): error TS1005: ':' expected.
src/services/shopService.ts(593,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(593,24): error TS1005: ':' expected.
src/services/shopService.ts(595,19): error TS1003: Identifier expected.
src/services/shopService.ts(595,23): error TS1005: ':' expected.
src/services/shopService.ts(595,31): error TS1003: Identifier expected.
src/services/shopService.ts(595,37): error TS1005: ':' expected.
src/services/shopService.ts(595,50): error TS1003: Identifier expected.
src/services/shopService.ts(595,53): error TS1005: ':' expected.
src/services/shopService.ts(595,71): error TS1003: Identifier expected.
src/services/shopService.ts(595,73): error TS1005: ':' expected.
src/services/shopService.ts(595,89): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(595,94): error TS1005: ':' expected.
src/services/shopService.ts(596,19): error TS1003: Identifier expected.
src/services/shopService.ts(596,23): error TS1005: ':' expected.
src/services/shopService.ts(596,31): error TS1003: Identifier expected.
src/services/shopService.ts(596,37): error TS1005: ':' expected.
src/services/shopService.ts(596,50): error TS1003: Identifier expected.
src/services/shopService.ts(596,54): error TS1005: ':' expected.
src/services/shopService.ts(596,72): error TS1003: Identifier expected.
src/services/shopService.ts(596,74): error TS1005: ':' expected.
src/services/shopService.ts(596,90): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(596,95): error TS1005: ':' expected.
src/services/shopService.ts(597,19): error TS1003: Identifier expected.
src/services/shopService.ts(597,23): error TS1005: ':' expected.
src/services/shopService.ts(597,31): error TS1003: Identifier expected.
src/services/shopService.ts(597,36): error TS1005: ':' expected.
src/services/shopService.ts(597,49): error TS1003: Identifier expected.
src/services/shopService.ts(597,53): error TS1005: ':' expected.
src/services/shopService.ts(597,71): error TS1003: Identifier expected.
src/services/shopService.ts(597,73): error TS1005: ':' expected.
src/services/shopService.ts(597,89): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(597,94): error TS1005: ':' expected.
src/services/shopService.ts(601,13): error TS1003: Identifier expected.
src/services/shopService.ts(601,22): error TS1005: ':' expected.
src/services/shopService.ts(602,15): error TS1003: Identifier expected.
src/services/shopService.ts(602,38): error TS1005: ':' expected.
src/services/shopService.ts(603,22): error TS1003: Identifier expected.
src/services/shopService.ts(603,152): error TS1005: ':' expected.
src/services/shopService.ts(604,19): error TS1003: Identifier expected.
